name,rating,latitude,longitude
Bike Repair Centre,5.0,49.2631728,-123.1059464
Our Community Bikes,4.0,49.263216777126,-123.101212433205
Mobi by Shaw Go,1.5,49.2603797912598,-123.113357543945
